id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
3VQ7hwiEfaHDl3AySgyaiR,"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg,https://p.scdn.co/mp3-preview/e6e4eeaf5cc6d833a6c6bd8a421369d3b34b5fb0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,4,7
6cC6h5E351deEGFd7Kh9uy,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",Niccolò Paganini,https://p.scdn.co/mp3-preview/484f23bbedb5ae024b2c5e4a06a4f0523bfe5b7d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,4,7
7HSs4srn1qnZhh7WRWBVOk,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",Sergei Prokofiev,https://p.scdn.co/mp3-preview/1898d691b0162e775513a9ca0ac1a8a55d487702?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.21,0.101,0,-19.383,1,0.0403,0.927,0.902,0.0776,0.153,86.314,341693,4,7
1MiWGSGDC5mGoP3MNclZ7s,The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,https://p.scdn.co/mp3-preview/b4ad03c40412b2b2ec0bbc79c3793dc5e2208fe8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,208587,3,7
3Rw0Rg4LjlYnuxIyioW3vg,Violin Concerto No. 10 in G Major: Largo,Joseph Boulogne Chevalier de Saint-Georges,https://p.scdn.co/mp3-preview/3a807a16556679501040f4ecede58e16a566d6ff?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.212,0.0517,2,-24.467,1,0.0525,0.928,0.639,0.112,0.152,185.678,397640,3,7
6VDHdry8ytOL2WWbePDxSD,"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich,https://p.scdn.co/mp3-preview/ae3f5eb7217431af5f651f15e831df5bfc511f2d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,195333,4,7
64ZxBE1ZgK4C0lGljXzDcG,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,https://p.scdn.co/mp3-preview/ebd38994e559d85e630167323f127b4e80471db9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147,4,7
6kg7bfwsTKzRqnBGGv4VqR,"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",Francis Poulenc,https://p.scdn.co/mp3-preview/9859abd5946c95ee79b645e5b61eaf37b1745e61?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,580253,4,7
2ml2xRwuFLv7NtDPzyssfL,"Widmung, Op. 25 No. 1",Robert Schumann,https://p.scdn.co/mp3-preview/23a3089a9ec451b1001f4b7ef1a72eaed0d6157b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.243,0.0325,8,-23.379,1,0.0454,0.992,0.879,0.108,0.0404,74.26,237960,3,7
7uf3aFC1msj0t5cYImgOWy,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/3cf48579e882c032a211b1cffb089a1b904ae099?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,209373,4,7
2fC30Rt5tFa6FA2jNb4fiz,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",Wolfgang Amadeus Mozart,https://p.scdn.co/mp3-preview/2ccc828aea554d645fd16fac252b6229882188c7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.327,0.332,7,-12.971,0,0.0404,0.877,0.751,0.129,0.285,118.85,435160,4,7
1aTpzY2ggWHhPi8p2f56u1,"Goldberg Variations, BWV 988: Aria da capo",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/0d3f0ebf9738aab714e8ed921266cc00c62b32b8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,224133,5,7
0mcgXc8P5GyGtP9aY7zir6,Piazzolla: Libertango,Alison Balsom,https://p.scdn.co/mp3-preview/66a7b0978d850a80bdf57cde8d7731969dd8d93e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,273562,4,7
3jLcwFns5S9OYQojN8XAkJ,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák,https://p.scdn.co/mp3-preview/5527463024327479389f79562aa1602aa6432651?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,775307,4,7
4fDodwdZ1LBDL2I2WCnUMY,"Tsar Saltan, Op. 57: Flight of the Bumblebee",André Previn,https://p.scdn.co/mp3-preview/4441c264976096b074aeb91560095d73102dfd2a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4,7
72jIJDADnBLJKXV2yxv5N0,"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/80bdbb2298bcceff8ba1f8201ee7396c1e827122?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,626240,1,7
246ntJR3A2s7B5E40FTCLf,Hummel: Trumpet Concerto In E Flat - Iii Rondo,Johann Nepomuk Hummel,https://p.scdn.co/mp3-preview/aaafd377d2476cecaaffe9f76e96cbc856b13ed9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.496,0.249,3,-18.131,1,0.0411,0.98,0.934,0.12,0.719,144.239,224640,4,7
0w4LgJ5G1Xz5jLS3HX8oyq,Young Person's Guide To The Orchestra,Benjamin Britten,https://p.scdn.co/mp3-preview/2a534a8234f62b842035e8cce7b8f6267b72dc21?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,1050893,4,7
3sAYxq1986j3ydqLv6jwUJ,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,https://p.scdn.co/mp3-preview/bec0df08fe3c5c9621af91331b984f3ddb2fd9ee?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,432533,0,7
2dEbRirkEtImY7HdYxrgRS,"Delius: 2 Pieces for Small Orchestra: No. 1, On Hearing the First Cuckoo in Spring",Frederick Delius,https://p.scdn.co/mp3-preview/2de4692de5de9570ad5e41cdd4f2300ef85dd233?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,349760,4,7
408VC5UfnAh3Uhl0RQpbkA,"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo",Ludwig van Beethoven,https://p.scdn.co/mp3-preview/b977a62c324ed24ab1890b4acefa3512e4e8e7c2?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,716933,4,7
63cA2QfqtWZa0GGPZnYc0K,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,https://p.scdn.co/mp3-preview/d46e12a743b4a48ab1ceb2b9454af75173f5b355?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0999,0.0241,2,-25.651,1,0.0432,0.98,0.766,0.0623,0.0396,89.001,532040,3,7
5CfxpBCYwfB17MMgARumHl,"Respighi: Pini di Roma, P. 141: III. I pini del Gianicolo",Ottorino Respighi,https://p.scdn.co/mp3-preview/9e4d8586b36b3dc482f7705ffd04c36e56191e5a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,462162,4,7
1dFVnX4mJTnWubAPE8S3OR,"Mephisto Waltz No. 1, S. 514",Franz Liszt,https://p.scdn.co/mp3-preview/3224422a36229b517fe48520106f3a9c3e9b5b87?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,662600,4,7
14rZjW3RioG7WesZhYESso,"Comptine d'un autre été, l'après-midi",Yann Tiersen,https://p.scdn.co/mp3-preview/df24e196f6607178532177beefb9acf8b73fa68b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733,4,7
6vS8JCT9WqTFeAuu8smjRF,Appalachian Spring: VII. Doppio movimento,Aaron Copland,https://p.scdn.co/mp3-preview/1b23879d2841ca804dcac242f22efc982dcd757e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,183267,4,7
1Lw8az0pvHNLIhOT2DWQ9W,Nascence,Austin Wintory,https://p.scdn.co/mp3-preview/9aff3300c584f89cb311c8a520d59d140fd99dfd?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.184,0.109,11,-18.185,0,0.0413,0.935,0.945,0.129,0.0374,105.838,106960,3,7
3pzBD8BVdrv7VJ7glRYshl,"Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)",Georges Bizet,https://p.scdn.co/mp3-preview/20e33fc6a9b51acc8f0b89d4fb1a133c93b7a7de?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.364,0.0592,2,-21.757,1,0.057,0.978,0.0,0.0823,0.185,123.789,275467,4,7
6mhQ7eOHaV0ur2ooKTavW1,"Tchaikovsky: 1812 Overture in E-Flat Major, Op. 49",Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/7783e1588a45e1a46fdb03c8650fe23c41d54d98?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.173,0.182,3,-18.848,1,0.0437,0.886,0.894,0.224,0.0781,70.831,905667,4,7
17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/6d1dba76979cc7339432e66bd063dfea637a2832?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,4,7
02YsxRqkJjhcbkncKW9qaz,"The Well-Tempered Clavier, Book 1: Prelude in C Major, BWV 846",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/a8a1a9ce62800045b5ea5e66b9d87ee1deb52c3b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.37,0.0538,0,-32.321,1,0.0433,0.995,0.936,0.0935,0.673,126.337,138421,4,7
1CiQLTserlabm0rYFkfTpn,"2 Arabesques, L. 66: Arabesque No. 1",Claude Debussy,https://p.scdn.co/mp3-preview/83e0f189da5ca4d117c9cfac87278413a8134fce?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.294,0.0736,9,-26.905,1,0.0481,0.994,0.929,0.108,0.112,127.802,255388,4,7
4NhuGX3w3HxYEbI1WMmws2,"Two Pieces, Op. 47: 1. Lotus Land",Cyril Scott,https://p.scdn.co/mp3-preview/32029d8035e823885eb6fb2410a5b3bae675e528?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.384,0.0215,3,-26.477,0,0.0469,0.986,0.948,0.105,0.0358,68.027,307412,3,7
7peGuJtU76TKrTYpwmxGBU,Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Julián Fueyo,https://p.scdn.co/mp3-preview/77090ba567d41d0320b09011a0830b4b5dfa8c7a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.342,0.013,2,-30.436,0,0.0347,0.991,0.935,0.144,0.0982,76.632,142444,4,7
2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/a1fbfa63beffdd711a0e4689b5fe1cd77c771fc1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4,7
5fPJEybjtk8fjQzEEUeSPx,Gnossienne: No. 1 (Arr. for Viola and Harp),Carrie Frey,https://p.scdn.co/mp3-preview/3a550f9d0cfde10984a65411502bd2a4aab4b5cd?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.285,0.0719,5,-19.419,0,0.0404,0.973,0.933,0.112,0.0529,91.804,216028,4,7
6AGA4j46aZkdKmH8m40uFi,"Concerto in D Minor, BWV 974: II. Adagio",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/cd3495d47aa6c53fee16fa3f5a963175a1edfd5d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.497,0.041,2,-28.093,0,0.0341,0.995,0.956,0.119,0.0399,76.065,209230,4,7
6N4UlgSWzvSKwL4P80nT8t,"Piano Sonata No.16 in C, K.545 ""Sonata facile"": 2. Andante",Wolfgang Amadeus Mozart,https://p.scdn.co/mp3-preview/e179de0a2e0f14a9e845e2009a1cb36356f2a71f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.473,0.0523,7,-29.472,1,0.0465,0.991,0.948,0.0678,0.414,114.736,249825,4,7
4ohUFvRY2eR17Lxq4p0Xrt,"Rêverie, L.68",Claude Debussy,https://p.scdn.co/mp3-preview/fc45e025fc6a0a46d417d2b02721078977b7b319?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.36,0.0636,5,-26.695,1,0.0506,0.993,0.946,0.106,0.148,112.856,241287,4,7
1qQF5uMFUlGjrQaTwfAiOB,"Kinderszenen, Op. 15 - 1. Von fremden Ländern und Menschen",Robert Schumann,https://p.scdn.co/mp3-preview/9a2b80936e58fd6ae7b24260b33fa382c209388d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.549,0.0141,7,-28.759,1,0.0534,0.996,0.959,0.112,0.403,69.234,114396,3,7
4fN0IcUFAziKKVcoxg9alk,"Kinderszenen, Op. 15 - No. 7, Träumerei",Robert Schumann,https://p.scdn.co/mp3-preview/09bc07e75b0fedcbdab0819d12108e37606f3b01?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.504,0.0104,5,-30.128,1,0.0612,0.995,0.958,0.0816,0.342,69.431,154415,4,7
6XyXFF1wFnS1id4QndHaln,Sakura Day,Hippo Dreams,https://p.scdn.co/mp3-preview/e97b076bb5acfc501f70dade17ace11d8cb5a11f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.263,0.0267,2,-28.224,0,0.037,0.989,0.838,0.126,0.107,97.427,70675,4,7
4PwC3JAq7Da28JXVNt14y9,Deh Vieni Alla Finestra,Wolfgang Amadeus Mozart,https://p.scdn.co/mp3-preview/403854834fa112f624b18114dc876244fe6585f5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.338,0.18,2,-17.248,1,0.0389,0.991,0.000307,0.0878,0.326,135.166,127055,4,7
3OsjW5E7AeF9OBRY8wS8nV,Les Trois Valses distinguées du précieux dégoûté - II. Son Binocle,Erik Satie,https://p.scdn.co/mp3-preview/b6b9733e77f22bf7e89d5ee388858eee04bb4b6d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.574,0.0231,0,-30.016,1,0.0506,0.996,0.916,0.136,0.507,104.105,65572,3,7
0MX1QJaEtPEZ95ieVRS464,"French Suite No.4 in E Flat, BWV 815: 1. Allemande",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/31ca8dfe6dda08e4f478ef37d2e930f7c244ed71?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.45,0.0441,3,-31.032,1,0.0431,0.992,0.952,0.0952,0.602,119.213,89879,4,7
1ZauqNrrbC4pYMwMtA2S27,Serenade for Strings in E Major II. Waltz Op. 22,Antonín Dvořák,https://p.scdn.co/mp3-preview/bbcb5c4e90c19a85fbad902dc57e8d0630ac2ae7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.152,0.109,9,-17.133,1,0.0464,0.872,0.895,0.168,0.114,57.143,407545,4,7
7K1aZycPPqwr54pYfoVBqr,Blooming Amber | El Ambar Florece,Julián Fueyo,https://p.scdn.co/mp3-preview/f17da7c0fe609aac82396d4071c26795b0a7cb85?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.301,0.0111,5,-31.907,1,0.0468,0.991,0.959,0.11,0.0485,69.653,225235,4,7
