song_id,mfcc_a_0,mfcc_a_1,mfcc_a_2,mfcc_a_3,mfcc_a_4,mfcc_a_5,mfcc_a_6,mfcc_a_7,mfcc_a_8,mfcc_a_9,mfcc_a_10,mfcc_a_11,mfcc_a_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_a_0,chroma_a_1,chroma_a_2,chroma_a_3,chroma_a_4,chroma_a_5,chroma_a_6,chroma_a_7,chroma_a_8,chroma_a_9,chroma_a_10,chroma_a_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,rolloff_a,rolloff_std,melspect_a,melspect_std,rmseP_a,rmseP_std,rmseH_a,rmseH_std,centroid_a,centroid_std,bw_a,bw_std,contrast_a,contrast_std,polyfeat_a,polyfeat_std,tonnetz_a,tonnetz_std,zcr_a,zcr_std,onset_a,onset_std,bpm,rmseP_skew,rmseP_kurtosis,rmseH_skew,rmseH_kurtosis,beats_a,beats_std,genre
790aa19bbcee2dc25824bbc11597d04bfd5ca650,-282.1811,194.8599,4.113867,-9.650106,13.913954,-10.039021,-9.828749,-1.1283554,-12.919756,-14.166695,-9.061098,-10.301073,-4.790132,20.79845,13.71903,15.585844,11.654527,8.073626,6.2690196,5.4110303,7.4827895,7.9075065,8.152879,8.994983,7.8021855,7.2751703,0.19822912,0.1618793,0.12493658,0.39011684,0.14424822,0.19416557,0.1060997,0.2840693,0.21911363,0.23207827,0.42863503,0.13447371,0.16519831,0.14138894,0.094341666,0.223515,0.12142976,0.18551937,0.14282624,0.19352184,0.18504211,0.14749329,0.18785825,0.09010331,1755.5364418029783,488.2504942467227,5.3380117,39.543743,0.0247060371821146,0.0250689082992458,0.0731430500489448,0.0413013774862591,1090.4292269189998,198.16557367448425,1440.6394116861593,244.81947768230057,20.56760663411574,11.065296960705917,-0.0001201139509561,5.3447807602367886e-05,0.0090436963125838,0.1774561519301896,0.02945556640625,0.0101382664875194,1.2165716,0.9438579,93.9630681818182,2.507648403124388,7.661004617521158,0.9816652426900668,0.6770604952537047,14.059424540186445,8.294584507163535,blues
a4a34b3fb9f572c72fe8394caaced17fbb98d796,-351.1076,192.33467,-29.208445,9.903441,32.734577,-12.688472,-10.854788,-3.3397355,-17.517637,-18.191431,-8.19221,-10.954855,-11.755729,46.355362,16.903055,34.53937,13.5138645,11.236206,10.363674,9.71162,10.710318,7.3182416,7.9102244,9.207485,9.547505,8.154246,0.11014225,0.10244409,0.15269956,0.37331876,0.0758882,0.14985935,0.22686215,0.30660987,0.27666184,0.2502161,0.46210828,0.11740063,0.14581811,0.15098238,0.14360401,0.21714021,0.099047415,0.14214018,0.16430697,0.15776256,0.15135047,0.1404725,0.17358816,0.08953837,2634.175243377685,876.2079415558779,0.8139633,4.617721,0.0108630934524355,0.0094060876592016,0.0308739156918772,0.0171460471261162,1393.0286784935677,492.6460417114727,1428.0847672104237,256.74134212290835,22.37708658375799,11.379864967875216,-5.8846528078460245e-05,3.36458672649427e-05,-0.0159888246731848,0.1791172750219558,0.0425918579101562,0.0257041442355224,1.3761648,1.2505585,123.046875,1.6246897847959176,3.505301836090096,1.2257811697421337,1.6401853082365625,14.891984684584216,8.476948659407748,blues
c037a64fe93b18301a74545f10f76ee30161c04d,-304.3125,195.6796,4.6002064,-51.742577,-15.158559,-9.141789,-30.359156,-27.649654,-8.466379,-1.151867,-4.2092867,-5.9856286,-7.9834948,24.023045,13.964403,18.704536,9.838853,10.534342,7.3340096,8.923874,8.9734535,9.301024,9.228395,10.024035,10.661769,11.627394,0.19988129,0.06492737,0.13750994,0.075082645,0.13799262,0.2986624,0.114271976,0.28900343,0.32123527,0.40716618,0.1337016,0.09232982,0.21119894,0.10980574,0.17597649,0.12071385,0.18389158,0.24154997,0.12683077,0.23102954,0.21792263,0.259912,0.19016124,0.12670879,1645.4899978637695,337.4083642342906,5.8877044,51.35355,0.0151377680902766,0.0145939482183609,0.0888747713903343,0.0426887953862313,1055.3302674738188,159.32576768462673,894.7873465855843,127.39843986738865,21.55089085247668,10.329695890409283,-0.0001268206662983,4.7238265521955074e-05,0.0254571744174946,0.2319200374665865,0.0385374069213867,0.0072046207749797,1.0634005,0.78540015,105.46875,3.600691675855529,23.57644789540521,0.9977337758584952,0.4674916231052228,14.506338082402772,8.516138160960029,blues
36716c2dcb28c9dc897ea7f7e670e78d00608a01,-265.98203,193.79338,-48.69568,39.878662,3.8012798,0.26537484,6.7257605,-15.40188,-2.0660641,-6.189068,1.2153854,-1.1630414,-4.3952427,29.589308,18.28974,17.545319,17.34107,14.4599285,11.620492,8.636448,9.454844,11.348801,9.685215,9.237927,10.700781,8.878073,0.21003714,0.06832577,0.18415716,0.21183658,0.27651805,0.22231981,0.19045842,0.32369462,0.26779243,0.24059424,0.28881767,0.37490803,0.1241446,0.111621656,0.14368768,0.1574015,0.16137065,0.14985336,0.12784418,0.14300194,0.15065831,0.14201613,0.17041065,0.14638048,3736.9612312316895,1195.182871530796,1.8296115,7.754203,0.0211417223484546,0.0137158334364433,0.0437804433049811,0.0117815527050657,1824.2075481871304,501.5556319374478,1984.0775681339503,432.1020729499828,22.32974342938181,13.636474231938791,-9.658893872474813e-05,2.286074528802641e-05,0.0252597943023849,0.1180288804433964,0.0486156463623046,0.0189401079578258,1.4146659,1.3117839,126.04801829268293,1.3568097387249822,2.319674675944383,0.0731799535430471,-0.1067516534435881,14.475581888669447,8.51447680122812,blues
181f35d6aa4af933b1e8bed2718faa844f7ef4e7,-315.91992,193.6918,-17.552826,0.63050765,24.395763,-7.074721,-15.386523,-8.6863,-5.141884,-14.934189,-23.219585,-18.904657,-16.662241,32.493866,16.11172,23.520153,11.961041,11.99704,11.7542305,9.680271,8.799167,7.9371853,7.4769244,6.9853826,7.7134113,7.2362885,0.17377055,0.25967827,0.37027514,0.07601603,0.15146065,0.21529607,0.24815111,0.14355464,0.2978088,0.49272794,0.057943165,0.14504203,0.12133485,0.1332244,0.1847863,0.08816846,0.15798944,0.17251648,0.15838724,0.16289851,0.14466608,0.16473171,0.08322787,0.12812668,2400.0353050231934,598.3462776912779,2.0724208,12.984562,0.0158027100288041,0.0164957087214849,0.0480583975854399,0.0222843871488683,1308.800269875362,311.8268694622368,1698.2328890162537,281.85078536895213,21.318016533502337,11.704661257670482,-8.373170869365828e-05,3.807452972234095e-05,-0.0220508143666956,0.1700664112757194,0.0309797286987304,0.0140804569127532,1.331286,1.0881226,105.46875,2.1953926774977,5.547119916957046,0.7907092472019545,0.1657725370998992,14.70068724925868,8.636843672904314,blues
3e332f36755d12f0c5a6b453febefc03f2046adb,-344.21844,173.00906,-13.767021,10.967296,29.197912,17.428108,14.461505,4.284292,0.7229871,1.9413607,2.806024,2.7838836,5.257245,43.704456,18.483763,29.992939,16.349958,11.956667,10.000868,10.502975,11.450156,12.294677,13.044046,11.606756,9.135764,9.807748,0.18749423,0.103015184,0.33690533,0.106335476,0.249125,0.17378137,0.1577359,0.28244767,0.15632239,0.26137954,0.30160627,0.28014582,0.17593579,0.12731874,0.23479222,0.12533425,0.2373285,0.14445634,0.14367424,0.21852419,0.1321596,0.14439079,0.19171295,0.17787923,3091.680107116699,1700.9642174970145,0.91562736,6.843545,0.0097098434824521,0.0101566871441627,0.0328849878062325,0.0182572116268708,1641.7089540931006,749.9450907169323,2049.1359983330062,618.3799021509894,22.521450968233506,13.20076093561958,-5.778479498628152e-05,2.9631758679977408e-05,0.0295794153644644,0.1636275361706352,0.0416624069213867,0.0241252008594228,1.6295086,2.1425574,87.5926906779661,2.7411765633076874,11.223225472515846,0.902212231719391,0.8231151281926459,14.46858027763951,8.148499038173634,blues
1a11415bbf88dfaa1a8854279d58cdf81bac41fe,-274.0346,162.45557,-5.3065715,8.026147,11.419684,-7.478274,-18.570024,-15.720042,-0.14804597,-7.1436186,-17.21316,-10.602489,-7.7027564,45.64951,20.95332,32.72357,14.162483,19.053574,10.598309,16.325396,10.227823,10.787417,9.850264,9.933825,10.200189,9.994124,0.2024569,0.23440674,0.24131897,0.27184692,0.37807566,0.41586703,0.046617024,0.086279176,0.106851295,0.22194023,0.2946959,0.09811435,0.14409699,0.18727238,0.13977876,0.21045095,0.17964956,0.14383908,0.07135269,0.10773077,0.1244985,0.16825911,0.21400337,0.10171854,2848.8259506225586,1080.1334110336677,4.848728,46.42483,0.0220651132608093,0.0249530583695573,0.0711886480451323,0.0508507273033369,1663.322405702663,449.4770416080375,2168.4860799251665,451.5354939680753,22.69015724246042,12.989004273791664,-0.0001197302006305,7.361208112438961e-05,-0.0225802108588013,0.1929309771729356,0.0426557540893554,0.0234775659576778,1.335481,1.1673269,139.6748310810811,2.3842717677006244,6.642181919203114,1.3066212193904547,1.5490961538156496,14.468519598315517,8.418080392213849,blues
df5e0f4fe3fc1bcf73d4c1875d152254649c60a8,-352.0118,183.52182,-34.490456,27.561996,22.190496,6.073908,5.4980626,3.142569,7.300208,1.0097529,5.0717735,2.61091,1.2608941,40.962555,20.82862,23.95035,15.673765,15.783757,12.523687,11.236545,10.528573,12.314233,11.816484,12.204654,10.287721,11.066518,0.2748733,0.16912472,0.39304686,0.11525931,0.20578356,0.11584363,0.12205237,0.34190828,0.122294284,0.17652722,0.11332516,0.19592917,0.24877653,0.17635079,0.21587177,0.12855902,0.21724176,0.17195427,0.17236727,0.28673598,0.12368667,0.17939717,0.1493775,0.16898134,3484.232082366944,1555.7526240506934,0.6350573,3.570653,0.0076642941083344,0.0100339571305237,0.0305158457448728,0.0102633369612929,1738.2278683653014,691.4091822214702,1953.3514511183555,614.5414205860163,23.773210592923714,13.579312600208311,-5.15100557662913e-05,1.7072328912121675e-05,0.0653720607672122,0.208754042768462,0.048039436340332,0.0290356561903381,1.5000992,1.9542325,161.4990234375,3.152360539179828,11.360052773343064,-0.0158580777254085,-0.3876401175955157,14.706213151927438,8.583269779301915,blues
df29689744e66846c7228832aa415ec67a1288de,-157.98477,141.50815,-32.912945,40.439426,-25.343008,30.278986,-10.222557,27.442987,-0.3768012,1.8686262,2.7970262,-4.893754,1.6416454,33.381348,19.61914,10.889997,11.085488,12.775555,16.14171,10.641671,12.82202,9.563955,8.310734,9.168813,9.261511,9.926873,0.22637133,0.23083623,0.4051569,0.0736439,0.13716787,0.13039973,0.17742553,0.48985982,0.2264332,0.25657922,0.124544576,0.18032044,0.2203889,0.12918404,0.19361696,0.087448485,0.12379989,0.14580458,0.11408768,0.20624754,0.11353774,0.12721704,0.098213956,0.11066565,6836.472358703613,1803.3136324051147,4.9533195,27.467335,0.0291855592610517,0.0187768813046481,0.0783942019936971,0.0304293183867907,2990.451321550989,685.2336552465495,3366.079413081008,468.8172036518623,22.78947550406975,15.181855613151352,-0.0001713307973506,5.0805293189090375e-05,0.0604872354271627,0.159469397298726,0.0772050857543945,0.0325137756789629,1.5436918,1.476423,135.99917763157896,1.2825729215155772,1.5333032990787947,0.8988289105896954,0.5511182908471826,14.50467390936474,8.522097627334306,blues
2e6e26bbcf347f7d91b98031638e7a6a58878e1e,-288.76028,178.41878,-17.64705,31.86916,-14.996094,20.099585,-1.2005484,-6.8605638,20.727606,-0.5253409,5.872224,-2.935569,-0.046290327,22.606218,11.24004,19.583807,13.512019,16.539,11.896457,10.723248,12.286004,10.076932,7.874787,8.255566,8.133745,8.437705,0.19129385,0.19842046,0.39227232,0.15076056,0.20481595,0.25248867,0.31404218,0.3239742,0.21794987,0.32006437,0.05918901,0.1696395,0.11470635,0.13180973,0.16003722,0.09527347,0.12718967,0.12969561,0.18546544,0.16346422,0.18126242,0.20034051,0.0775578,0.13258784,3612.354640960693,1295.8211593330925,1.2491913,6.5336227,0.0146434993080605,0.0109640893675427,0.0368054271949009,0.0136701891745,1777.325894906986,346.70134591036816,2320.4394842557804,367.5736904700375,21.11100025962192,14.325005146096256,-7.23707308446699e-05,2.2374914542279417e-05,0.007348100807937,0.1384400252197529,0.0396493911743164,0.0139627127930034,1.4431353,1.5253054,112.34714673913044,1.741953394681433,3.5409058601287047,0.8920517583549029,1.592690367760289,14.52838162425464,8.380055067830067,blues
